user_id,announce_time,location,authenticated_flag,type,forward_num,comment_num,sum,interact_id,interact_content,original_content
1566590494,2019/10/3 0:06,香港 观塘区,非认证,转发,1,0,1,7312130836,之前知道部分議員的工作就是盲目反對政府，經過這4個月後，又有更深體會。他們為了爭取選票不擇手段，惺惺作態，妄顧法紀，是非黑白不分，抹黑警察討好黃絲，希望警察們可以分享多一點事情的另一面。? Btw，警察EQ好高，仲邀請佢一齊加入，俾我就開水沖走佢，等佢變阿凡達。[阴险],這位是香港的立法會議員在反修例示威前，我對立法會議員的印象是他們有時會在議會上批評政府的施政方針，有時會破口大罵官員。而我覺得政府多聽反對的聲音可能是一件好事。而他是立法會議員學識和能力上有能力令到社會進步，雖然他是反對派議員但我對他豪無反感。但在示威活動後，我對他們的印象完全 ?...全文： http://weibo.com/7312130836/I9GGh6J34
1790942835,2019/10/3 0:09,其他,认证,转发,622,25,647,5828293600,[心]//@惠英紅kara:轉發微博,【惠英红哽咽谈《回归》：这是多少钱都买不来的荣耀】#中国瞬间# “我演的是《回归》，这是我自己本身的经历、我自己的情绪…”面对#今日影评Mtalk# 的独家采访镜头，香港演员@惠英紅kara 谈起参演@电影我和我的祖国 的感悟时数度哽咽[泪]一直希望能参演献礼电影的惠英红，在今年终于圆梦[爱你]...全文： http://weibo.com/5828293600/I9EvmAhR9 ?
5631124864,2019/10/3 0:23,其他,非认证,原创,0,2,2, ,爸爸！我也想听[泪]坐标HK@QQ音乐 @QQ音乐小秘书 @QQ音乐小助手 ?, 
2283870420,2019/10/3 0:41,安徽,认证,原创,0,1,1, ,#香港警察[超话]# [允悲][坏笑][哈哈][允悲][坏笑][哈哈][允悲][坏笑][哈哈][允悲][坏笑][哈哈][允悲][坏笑][哈哈][允悲][坏笑][哈哈][允悲][坏笑][哈哈][允悲][坏笑][哈哈][允悲][坏笑][哈哈] ?, 
1608054774,2019/10/3 1:08,广东 广州,认证,转发,2,0,2,1489482040,//@大米米米米米米米米米米:我也想看兵哥哥们//@一条DURIAN酱:好开心“节日快乐”//@系红领巾的猴子://@萧六公子Willif://@一颗阿仙仙仙://@淇奥清风: 发自内心的开心,原文：這是我用鏡頭記錄的另一段（閲兵結束後我在長安街步行回酒店，沿途見到這裡的年青人與軍警之間的真實互動? 那種從心而發流露出來的融洽相處，發乎內心的喜悅，臉上一致的精氣神… 再對比香港今日的狀態，著實令我感觸萬分。）来源：高志森FB  http://t.cn/AimcbWNA ?
2473947732,2019/10/3 1:33,广东 佛山,非认证,原创,0,1,1, ,跟铁憨憨的降维撕逼真有趣随便抛出一个搭便车就开始脑子停止运转了进入思维的无赖模式喜欢gakki至少也看过李狗嗨吧?看完还不晓得多读点书?我可笑死了，不过这种层次的家伙还不至于让我画思维导图解剖她的断层逻辑来连环击破，反正没救了。还不如继续花点时间如何跟hk的中立党对垒[憧憬][憧憬] ?...全文： http://weibo.com/2473947732/I9HtuljOu, 
5333693607,2019/10/3 2:00,广东 深圳,认证,转发,180,45,225,5333693607,继续第10天～转到启动紧急法～废掉洋法官为止～,我今天开始~一天发一次~#洋法官不倒香港没法好# #冷战#  加了个图2~她和她的主子在保护谁？为什么不启动紧急法？ ?
3218956732,2019/10/3 6:03,其他,非认证,转发,1,0,1,1594052081,//@居家饭团老豆:#朱一龙[超话]# ?? #朱一龙我和我的祖国# 和正能量演员朱一龙一起祝福祖国繁荣昌盛[中国赞] 期待护旗手朱一龙！ @朱一龙,有幸参与“今天是你的生日”央视晚会。70年光辉历程，我心中属于祖国的难忘记忆，香港回归，一刻也不能分割！献礼新中国成立70周年，#电影我和我的祖国930#见！ ?
2256631153,2019/10/3 6:04,海外 美国,非认证,原创,0,1,1, ,我的youtube视频推荐：各地美食博主们的what i ate in a day、韩国漂亮小姐姐们化妆教程、youtube网红们日常vlog、老高与小茉、各种电影解说zhk的视频推荐：四个大汉四条狗的山里生活、逃离城市独自在山里的两年生活、如何改造你家厕所、如何在你家主卧盖间密室、如何在院子里造狗窝、国家公园里造两层小木屋………………[摊手][作揖], 
2424740417,2019/10/3 6:56,香港 中西区,非认证,原创,37,6,43, ,隐藏在城市里的建筑结构#Hong Kong##广州# @图虫摄影网 @中国摄影师联盟 @视觉中国影像 @米拍摄影 @500px摄影社区 http://t.cn/RJycfbu ?, 
2710993475,2019/10/3 6:59,其他,非认证,转发,1,0,1,5826199431,[求关注],#朴宝剑[超话]# ?#朴宝剑徐福# 191002NHK E频道采访 cr.hyacinthW[拳头][拳头]@朴寶劍_ParkBoGum  ? ??? http://t.cn/AimJ1zPA ?
1913579602,2019/10/3 7:39,四川,非认证,转发,1,0,1,7295306535,网友: 几届特首和解放军驻军代表都在场，华仔特意着中山装献唱。 http://t.cn/AimizUoY #守护香港# #国庆阅兵# #国庆70周年#,#无书[超话]#2019年10月2日红磡爱国晚会意外出现刘德华 http://t.cn/AimMwQIW ?
5826365642,2019/10/3 7:58,北京,非认证,原创,0,1,1, ,【香港正品幸福狐狸】这款内衣舒服的就像没穿别问我怎么知道的穿着睡觉都毫无束缚感聚拢效果也没得说[二哈]卷后仅￥38，蹲点抢 ?, 
1825700663,2019/10/3 8:16,海外,非认证,转发,1,0,1,1763956344,林郑快点宣布宵禁啊！！！//@淡定某璇:我就不明白打砸烧怎么能光复HK[摊手],#香港之恥# 【第N次！】港府強烈譴責昨日（星期三）晚上多區出現的堵路及破壞等違法行為。政府表示，有暴力示威者星期三晚開始在港九新界多區進行堵塞馬路，破壞商鋪和港鐵設施，攻擊警署、縱火及投擲汽油彈等違法行為，嚴重破壞社會安寧，威脅警務人員及市民人身安全，政府對此予以強烈譴責，又指警方 ?...全文： http://weibo.com/1763956344/I9JIr9zk2
6441854407,2019/10/3 8:31,河南,认证,转发,0,1,1,1594052081,我们永远在一起！,香港，我们永远在一起！#电影我和我的祖国# ?
1895532004,2019/10/3 9:02,广东 广州,非认证,转发,1,0,1,2656274875,转发微博,【#央视主播终于和刘sir见面了#！[心]】8月7日，海霞曾在#主播说联播#中力挺香港警察光头刘sir，在另一期节目中又安慰刘sir“不用爬长城就已经是好汉了”，二人虽素未谋面，却如多年老友。在刘sir来北京参加国庆观礼期间，海霞和刘sir终于见面了！这次难得的会面，俩人聊了啥？看视频！  ?...全文： http://weibo.com/2656274875/I9KhI4trq
5528324631,2019/10/3 9:19,云南 昆明,非认证,转发,2,0,2,2480172345,[心]//@三水聿相:[心]//@帝吧官微:下次再见，期待勇士们的凯旋，每人发一个大奖章[心],開心的時間，特別快過去！四天北京國慶閱兵，轉眼便過去！你們的熱情已經融化了我！相信在這一生，我也不會忘記你們！北京同胞們！我要回香港了！但你們永遠在我心中！北京我會再來的！下次再見！??♂???♂???♂??????? ?
6018489539,2019/10/3 9:27,其他,非认证,原创,44,53,97, ,#张继科[超话]#共青团中央官微国风盛世里有张继科卡塔尔公开赛奋力拼搏的视频，奥林匹克官微用身披国旗的张继科向共和国致敬，人民日报用张继科手把手教香港小妹妹打球视频来表达惦念之情。张继科奋力拼搏温暖有爱意气风发的样子深入人心[给你小心心]@张继科 ?, 
6522566955,2019/10/3 9:33,广西,认证,原创,2,0,2, ,【央视主播终于和刘Sir见面了！[心]】       8月7日，海霞曾在主播说联播中力挺香港警察光头刘sir，在另一期节目中又安慰刘sir“不用爬长城就已经是好汉了”，二人虽素未谋面，却如多年老友。在刘sir来北京参加国庆观礼期间，海霞和刘sir终于见面了！这次难得的会面，俩人聊了啥？  ...全文： http://weibo.com/6522566955/I9KC7kiTE ?, 
