user_id,announce_time,location,authenticated_flag,type,forward_num,comment_num,sum,interact_id,interact_content,original_content
5935954192,2019/10/2 0:05,北京,非认证,转发,1,0,1,2803301701,转发微博,此刻，我们还有一份牵挂和祝福：#香港明天一定会更好#！[心]  http://t.cn/AimL2PEE ?
5678262900,2019/10/2 0:19,河北,非认证,原创,0,2,2, ,我和我的祖国真的是油然而生的爱国热情，可能是本身就是中国人，从小不知道爱过体现在哪些方面，不知道什么是爱国！随着年龄增长吧，越来越觉得，身为中国人之骄傲，祖国之伟大！从《红海行动》里“无论你身处何方，中国海军会带你回家！”我真切感受到中国不会放弃每一个公民之爱！到之前的香港事情...全文： http://weibo.com/5678262900/I9xz0ie48 ?, 
6804935565,2019/10/2 0:20,北京 东城区,非认证,转发,1,0,1,6609335419,你们都好大的胆子//@朱子骁:是怹 是怹 就是怹//@蒼天熊貓: //@雪山上空的鹰: 是他老人家,【他改变了中国】是谁禁止了军队经商 是谁平治了洪水汤汤 是谁稳定了通货膨胀 是谁坚持了改革开放 是谁任命了铁血宰相 是谁摧毁了邪教道场 是谁收回了澳门香港 是谁平息了金融巨浪 是谁加入了世界商贸 是谁提出了科教兴邦 [酷] ?
2602072484,2019/10/2 0:25,广东 广州,非认证,原创,3,4,7, ,广州恒大功勋球员穆里奇的儿子唱国歌[心][心][心][心]#守护香港##国庆阅兵##祖国生日快乐# http://t.cn/AimG9hIe ?, 
3302566283,2019/10/2 0:36,其他,认证,转发,20,20,40,6446335879,转发可以弄车S9全球总决赛。NBA从这里起步，向梦想投篮！参与送iPhone 11 啦,英雄联盟全球S9赛季总决赛，是目前电竞项目的全球范围内的最正规最高级比赛，你认为哪只球队是冠军：FPX、RNG、IG（上届冠军）、HKA？（加个表情）哈哈。【有小伙伴要竞猜的可以→@活动小哥哥 送iPhone 11 】 五大联赛代表了当今欧洲乃至世界足坛最顶级的足球水平，吸引了众多球星，引导足球界发展的新...全文： http://weibo.com/6446335879/I9x4n7nyv ?
2647814250,2019/10/2 0:43,其他,非认证,转发,1,0,1,5305078356,//@MeredithSwift_Official://@SongsAboutYou-Tay:都转这个//@霉超疯啊:霉霉官网是全球【唯一一个】海外明星官网把【TW/HK标为中国的省份】【CCTV罕见拥有个人纪录片的女星】【来华进行多次巡演】【受到CCTV/央视/新华网官方表扬】无数次的优秀艺人 在【上海演唱会泪洒现场】在国内音乐平台【向粉丝问,哈？周杰伦粉丝和泰勒粉丝？？？ ?
5415663903,2019/10/2 0:43,其他,非认证,原创,1,1,2, ,#我在未来等你# 知道刘大志心心念念想要耐克的球鞋，专门买了一双送给他，撒谎说是他妈和他姐买重了。因为他随口的一句“你下次去香港，能不能多带点这样的高级货啊。”特地给他买了CD机，怕他觉得过于贵重还把盒子拆了，说是借给他。对狗过敏却因为怕他难过而答应帮他收留狗，知道他穿的是假的耐克外...全文： http://weibo.com/5415663903/I9xIIaoC4 ?, 
5297997093,2019/10/2 1:02,海外,认证,原创,2,0,2, ,#姜丹尼尔color on me# [带着微博去旅行]#姜丹尼尔的时光旅行#  [大侦探皮卡丘微笑] MAMA香港场 『2018.12.14』  cr.logo ???, 
5647090492,2019/10/2 1:17,其他,非认证,原创,0,4,4, ,#宝妈兼职[超话]#HK信息数据录入，正规蒹职，特别适合宝妈、学生党，碎片化时间录入，24小时可做，不限时不限量，快来加入我们吧[心][心][心] ?, 
6182299491,2019/10/2 1:26,其他,非认证,原创,0,1,1, ,#姜丹尼尔SUBWAY赛百味代言人# ? #姜丹尼尔danity一起幸福吧#  姜丹尼尔 官咖?一位?签售?新加坡?西瓜?i hope?horizon?出道专辑销量?香港?首日?kdnl jdnl kdne jdne kd1 前碗1 @KangDaniel_姜丹尼尔 又想起mv里的小毛 ?, 
2136367523,2019/10/2 3:19,其他,认证,转发,3,0,3,1790413623,//@债券搬砖狗://@渣男小棉袄:转发,一边普天同庆喜气洋洋，一边全城如临大敌、商场关门、地铁停运、亲朋好友互相叮嘱注意安全不要出门，如同在战区。这半年来在香港见证了太多伪民主真暴力、fake news、种族歧视、打着自由的旗号对法治理直气壮的践踏……就特别特别特别特别衷心的祝福祖国更强大人民更幸福。 ?
