1642,267
1642,2622
1642,3393
1642,3355
1642,3442
1642,549
1642,4558
1642,163
1642,3720
1642,1540
1642,2823
1642,4008
1642,2522
1642,748
1642,1642
1642,3614
1642,2919
1642,1886
1642,687
1642,2633
1642,2396
1642,617
1642,540
1642,1790
1642,3681
1642,1279
1642,926
1642,909
1642,4334
1642,1511
1642,1890
1642,25
1642,112
1642,1579
1642,3114
1642,765
1642,739
1642,2842
1642,2215
1642,4559
1642,343
1642,3552
1642,1319
1642,1606
1642,2612
1642,3135
1642,571
1642,4396
1642,2720
1642,537
1642,4895
1642,1141
1642,2806
1642,4637
1642,3318
1642,1056
1642,2162
1642,4613
1642,562
1642,2417
1642,2356
1642,2749
1642,4166
1642,1862
1642,578
1642,4878
1642,2091
1642,1239
1642,3175
1642,1038
1642,4739
1642,1186
1642,2809
1642,2279
1642,2330
1642,353
1642,3090
1642,2054
1642,3252
1642,2789
1642,4202
1642,3455
1642,4060
1642,1904
1642,591
1642,4858
1642,2252
1642,105
1642,3606
1642,3084
1642,583
1642,587
1642,1421
1642,4487
1642,530
1642,1731
1642,210
1642,890
1642,1418
1642,3166
1642,4886
1642,2898
1642,1482
1642,2046
267,818
267,214
267,1814
267,1084
267,2641
267,3445
267,106
267,1499
267,2898
267,3516
267,3975
267,2255
267,3614
267,2778
267,1677
267,3000
267,1420
267,1419
267,4068
267,4359
267,4322
267,3235
267,4078
267,2633
267,2368
267,2759
267,936
267,3871
267,984
267,1603
267,1783
267,876
267,1295
267,754
267,2615
267,3419
267,621
267,1271
267,3452
267,3090
267,595
267,3923
267,4279
267,3192
267,2713
267,4870
267,2193
267,3572
267,2046
267,4220
267,4729
267,3679
267,1063
267,792
267,1446
267,88
267,3316
267,402
267,269
267,3240
267,3538
267,2872
267,333
267,3884
267,3281
267,4449
267,1303
267,1876
267,3164
267,2404
267,459
267,2716
267,2364
267,767
267,267
267,1743
267,178
267,503
267,4010
267,1335
267,4004
267,4540
267,3109
267,2453
267,849
267,457
267,3227
267,256
267,1659
267,895
267,0
267,1346
267,2919
267,3834
267,1519
267,241
267,2573
